source_record_id,billing_account_id,invoice_month,usage_start_time,usage_end_time,project_id,project_name,service_description,sku_description,resource_name,location,usage_amount,usage_unit,list_cost,cost,currency,currency_conversion_rate,credits,cost_type,labels,is_deliberate_anomaly,data_quality_scenario
gcp-2026-04-01-finops-data-2001-01-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-02,us-central1,716.6211,vCPU-hours,22.6531,20.4237,USD,1.0,"[{""amount"":-2.0424,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-02-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-01,us-central1,4.8873,TiBy,30.5456,30.5456,USD,1.0,"[{""amount"":-1.5273,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-02-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-02,us-central1,5.5839,TiBy,34.8992,34.8992,USD,1.0,"[{""amount"":-1.745,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-03-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-01,us-central1,151.2053,GiBy-month,3.9313,3.6289,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-03-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-02,us-central1,137.8545,GiBy-month,3.5842,3.3085,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-04-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-2001-04-01,us-central1,201.8286,vCPU-hours,16.671,14.9353,USD,1.0,"[{""amount"":-1.1948,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-04-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-2001-04-02,us-central1,181.2563,vCPU-hours,14.9718,13.413,USD,1.0,"[{""amount"":-1.073,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-01-finops-data-2001-05-01,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Logging,Log Storage,log-sink-2001-05-01,us-central1,122.3723,GiBy,61.1861,56.2912,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""development"",""team"":""platform""}",False,valid
gcp-2026-04-01-finops-data-2001-05-02,000000-111111-222222,202604,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Logging,Log Storage,log-sink-2001-05-02,us-central1,124.267,GiBy,62.1335,57.1628,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""development"",""team"":""platform""}",False,valid
gcp-2026-04-02-finops-prod-1001-01-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-01,us-central1,1571.8477,vCPU-hours,49.6877,44.7977,USD,1.0,"[{""amount"":-4.4798,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-01-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-02,us-central1,1572.7238,vCPU-hours,49.7154,44.8226,USD,1.0,"[{""amount"":-4.4823,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-02-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-01,us-central1,11.3702,TiBy,71.0639,71.0639,USD,1.0,"[{""amount"":-3.5532,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-02-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-02,us-central1,12.7172,TiBy,79.4823,79.4823,USD,1.0,"[{""amount"":-3.9741,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-03-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-01,us-central1,330.5276,GiBy-month,8.5937,7.9327,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-03-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-02,us-central1,312.8035,GiBy-month,8.1329,7.5073,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-04-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-01,us-central1,459.9691,vCPU-hours,37.9934,34.0377,USD,1.0,"[{""amount"":-2.723,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-02-finops-prod-1001-04-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-02,us-central1,424.3785,vCPU-hours,35.0537,31.404,USD,1.0,"[{""amount"":-2.5123,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,{},False,untagged
gcp-2026-04-02-finops-prod-1001-05-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-01,us-central1,285.0805,GiBy,142.5402,131.137,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""production"",""team"":""platform""}",False,valid
gcp-2026-04-02-finops-prod-1001-05-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-02,us-central1,316.8555,GiBy,158.4277,145.7535,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""production"",""team"":""platform""}",False,valid
gcp-2026-04-02-finops-data-2001-01-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-01,us-central1,719.5478,vCPU-hours,22.7456,20.5071,USD,1.0,"[{""amount"":-2.0507,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-01-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-02,us-central1,702.6249,vCPU-hours,22.2107,20.0248,USD,1.0,"[{""amount"":-2.0025,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-02-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-01,us-central1,5.6755,TiBy,35.472,35.472,USD,1.0,"[{""amount"":-1.7736,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-02-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-02,us-central1,5.5117,TiBy,34.4479,34.4479,USD,1.0,"[{""amount"":-1.7224,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-03-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-01,us-central1,157.3715,GiBy-month,4.0917,3.7769,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-03-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-02,us-central1,134.7099,GiBy-month,3.5025,3.233,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-04-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-2001-04-01,us-central1,177.1677,vCPU-hours,14.6341,13.1104,USD,1.0,"[{""amount"":-1.0488,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-04-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-2001-04-02,us-central1,189.5234,vCPU-hours,15.6546,14.0247,USD,1.0,"[{""amount"":-1.122,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-02-finops-data-2001-05-01,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Logging,Log Storage,log-sink-2001-05-01,us-central1,133.0697,GiBy,66.5349,61.2121,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""development"",""team"":""platform""}",False,valid
gcp-2026-04-02-finops-data-2001-05-02,000000-111111-222222,202604,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Logging,Log Storage,log-sink-2001-05-02,us-central1,125.0118,GiBy,62.5059,57.5054,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""development"",""team"":""platform""}",False,valid
gcp-2026-04-03-finops-prod-1001-01-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-01,us-central1,1426.5048,vCPU-hours,45.0932,40.6554,USD,1.0,"[{""amount"":-4.0655,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-01-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Compute Engine,N2 Instance Core running in Americas,instance-1001-01-02,us-central1,1562.9068,vCPU-hours,49.405,44.5428,USD,1.0,"[{""amount"":-4.4543,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-02-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-01,us-central1,11.1689,TiBy,69.8056,69.8056,USD,1.0,"[{""amount"":-3.4903,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-02-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,BigQuery,Analysis in US,bq-job-1001-02-02,us-central1,10.9221,TiBy,68.2628,68.2628,USD,1.0,"[{""amount"":-3.4131,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-03-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-01,us-central1,327.399,GiBy-month,8.5124,7.8576,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-03-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Storage,Standard Storage US Multi-region,bucket-1001-03-02,us-central1,319.3953,GiBy-month,8.3043,7.6655,USD,1.0,[],regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-04-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-01,us-central1,408.0792,vCPU-hours,33.7073,30.1979,USD,1.0,"[{""amount"":-2.4158,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-04-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-1001-04-02,us-central1,404.7002,vCPU-hours,33.4282,29.9478,USD,1.0,"[{""amount"":-2.3958,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""storefront"",""cost_center"":""cc-3001"",""environment"":""production"",""team"":""commerce""}",False,valid
gcp-2026-04-03-finops-prod-1001-05-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-01,us-central1,281.0321,GiBy,140.5161,129.2748,USD,1.0,[],regular,{},False,untagged
gcp-2026-04-03-finops-prod-1001-05-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-prod-1001,customer-platform-prod,Cloud Logging,Log Storage,log-sink-1001-05-02,us-central1,300.3084,GiBy,150.1542,138.1419,USD,1.0,[],regular,"{""application"":""shared-logging"",""cost_center"":""cc-shared"",""environment"":""production"",""team"":""platform""}",False,valid
gcp-2026-04-03-finops-data-2001-01-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-01,us-central1,679.9999,vCPU-hours,21.4955,19.38,USD,1.0,"[{""amount"":-1.938,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-01-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,Compute Engine,N2 Instance Core running in Americas,instance-2001-01-02,us-central1,637.3617,vCPU-hours,20.1476,18.1648,USD,1.0,"[{""amount"":-1.8165,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-02-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-01,us-central1,5.2184,TiBy,32.6152,32.6152,USD,1.0,"[{""amount"":-1.6308,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-02-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,BigQuery,Analysis in US,bq-job-2001-02-02,us-central1,5.0959,TiBy,31.8495,31.8495,USD,1.0,"[{""amount"":-1.5925,""name"":""Promotion"",""type"":""PROMOTION""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-03-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-01,us-central1,144.8784,GiBy-month,3.7668,3.4771,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-03-02,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,Cloud Storage,Standard Storage US Multi-region,bucket-2001-03-02,us-central1,153.3222,GiBy-month,3.9864,3.6797,USD,1.0,[],regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
gcp-2026-04-03-finops-data-2001-04-01,000000-111111-222222,202604,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,finops-data-2001,analytics-development,Cloud SQL,Cloud SQL for PostgreSQL: Regional vCPU,cloudsql-2001-04-01,us-central1,170.4328,vCPU-hours,14.0777,12.612,USD,1.0,"[{""amount"":-1.009,""name"":""Committed Usage Discount"",""type"":""COMMITTED_USAGE_DISCOUNT""}]",regular,"{""application"":""lakehouse"",""cost_center"":""cc-4001"",""environment"":""development"",""team"":""data""}",False,valid
