source_record_id,bill_billing_period_start_date,bill_billing_period_end_date,line_item_usage_start_date,line_item_usage_end_date,bill_payer_account_id,line_item_usage_account_id,account_name,product_product_name,line_item_usage_type,line_item_operation,product_region,line_item_resource_id,line_item_usage_amount,pricing_unit,pricing_public_on_demand_rate,pricing_public_on_demand_cost,line_item_unblended_rate,line_item_unblended_cost,line_item_line_item_type,pricing_term,currency,team,application,environment,cost_center,resource_tags,is_deliberate_anomaly,data_quality_scenario
aws-2026-04-01-222222222222-02-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-01,99.3213,GB-Mo,0.023,2.2844,0.0215,2.1354,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-02-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-02,83.588,GB-Mo,0.023,1.9225,0.0215,1.7971,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-03-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-01,89.8379,Hrs,0.192,17.2489,0.17,15.2724,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-03-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-02,89.1598,Hrs,0.192,17.1187,0.17,15.1572,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-04-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-2222-04-01,1762679.832,GB-Seconds,1.66667e-05,29.3781,1.55e-05,27.3215,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-04-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-2222-04-02,1707487.032,GB-Seconds,1.66667e-05,28.4582,1.55e-05,26.466,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-01-222222222222-05-01,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-2222-05-01,93.2646,GB,0.5,46.6323,0.46,42.9017,Usage,OnDemand,USD,Platform,Shared-Observability,development,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""development"",""team"":""Platform""}",False,valid
aws-2026-04-01-222222222222-05-02,2026-04-01,2026-05-01,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,999999999999,222222222222,development-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-2222-05-02,93.8299,GB,0.5,46.9149,0.46,43.1617,Usage,OnDemand,USD,Platform,Shared-Observability,development,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""development"",""team"":""Platform""}",False,valid
aws-2026-04-02-111111111111-01-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-01,1124.1875,Hrs,0.096,107.922,0.084,94.4318,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-02-111111111111-01-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-02,1021.226,Hrs,0.096,98.0377,0.084,85.783,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-02-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-01,214.3343,GB-Mo,0.023,4.9297,0.0215,4.6082,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-02-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-02,215.3269,GB-Mo,0.023,4.9525,0.0215,4.6295,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-03-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-01,221.8616,Hrs,0.192,42.5974,0.17,37.7165,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-03-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-02,210.3918,Hrs,0.192,40.3952,0.17,35.7666,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-04-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-01,4290280.0398,GB-Seconds,1.66667e-05,71.5048,1.55e-05,66.4993,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-04-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-02,4633231.8467,GB-Seconds,1.66667e-05,77.2207,1.55e-05,71.8151,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-02-111111111111-05-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-01,210.2012,GB,0.5,105.1006,0.46,96.6926,Usage,OnDemand,USD,Platform,Shared-Observability,production,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""production"",""team"":""Platform""}",False,valid
aws-2026-04-02-111111111111-05-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-02,209.8531,GB,0.5,104.9266,0.46,96.5324,Usage,OnDemand,USD,Platform,Shared-Observability,production,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""production"",""team"":""Platform""}",False,valid
aws-2026-04-02-222222222222-01-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-01,461.12,Hrs,0.096,44.2675,0.084,38.7341,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-01-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-02,424.7838,Hrs,0.096,40.7792,0.084,35.6818,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-02-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-01,97.2399,GB-Mo,0.023,2.2365,0.0215,2.0907,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-02-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-02,86.0687,GB-Mo,0.023,1.9796,0.0215,1.8505,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-02-222222222222-03-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-01,80.8996,Hrs,0.192,15.5327,0.17,13.7529,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-03-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-02,79.1445,Hrs,0.192,15.1957,0.17,13.4546,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-04-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-2222-04-01,1881728.6693,GB-Seconds,1.66667e-05,31.3622,1.55e-05,29.1668,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-04-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-2222-04-02,1804403.5329,GB-Seconds,1.66667e-05,30.0735,1.55e-05,27.9683,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-02-222222222222-05-01,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-2222-05-01,94.7546,GB,0.5,47.3773,0.46,43.5871,Usage,OnDemand,USD,Platform,Shared-Observability,development,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""development"",""team"":""Platform""}",False,valid
aws-2026-04-02-222222222222-05-02,2026-04-01,2026-05-01,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,999999999999,222222222222,development-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-2222-05-02,83.3854,GB,0.5,41.6927,0.46,38.3573,Usage,OnDemand,USD,Platform,Shared-Observability,development,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""development"",""team"":""Platform""}",False,valid
aws-2026-04-03-111111111111-01-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-01,1093.2555,Hrs,0.096,104.9525,0.084,91.8335,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-01-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-1111-01-02,1098.2706,Hrs,0.096,105.434,0.084,92.2547,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-02-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-01,229.2919,GB-Mo,0.023,5.2737,0.0215,4.9298,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-02-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-1111-02-02,257.2848,GB-Mo,0.023,5.9175,0.0215,5.5316,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-03-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-01,198.3273,Hrs,0.192,38.0788,0.17,33.7156,Usage,OnDemand,USD,,,,,{},False,untagged
aws-2026-04-03-111111111111-03-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-1111-03-02,199.1368,Hrs,0.192,38.2343,0.17,33.8533,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-04-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-01,4762871.4279,GB-Seconds,1.66667e-05,79.3813,1.55e-05,73.8245,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-04-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,AWS Lambda,Lambda-GB-Second,Invoke,us-east-1,function-1111-04-02,4107174.9355,GB-Seconds,1.66667e-05,68.4531,1.55e-05,63.6612,Usage,OnDemand,USD,Payments,Checkout,production,CC-1001,"{""application"":""Checkout"",""cost_center"":""CC-1001"",""environment"":""production"",""team"":""Payments""}",False,valid
aws-2026-04-03-111111111111-05-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-01,247.3255,GB,0.5,123.6627,0.46,113.7697,Usage,OnDemand,USD,Platform,Shared-Observability,production,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""production"",""team"":""Platform""}",False,valid
aws-2026-04-03-111111111111-05-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,111111111111,production-account,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,us-east-1,log-group-1111-05-02,246.1985,GB,0.5,123.0993,0.46,113.2513,Usage,OnDemand,USD,Platform,Shared-Observability,production,CC-SHARED,"{""application"":""Shared-Observability"",""cost_center"":""CC-SHARED"",""environment"":""production"",""team"":""Platform""}",False,valid
aws-2026-04-03-222222222222-01-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-01,378.9644,Hrs,0.096,36.3806,0.084,31.833,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-03-222222222222-01-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Elastic Compute Cloud - Compute,BoxUsage:m5.large,RunInstances,us-east-1,i-2222-01-02,435.2637,Hrs,0.096,41.7853,0.084,36.5621,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-03-222222222222-02-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-01,86.7562,GB-Mo,0.023,1.9954,0.0215,1.8653,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-03-222222222222-02-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-2222-02-02,83.9302,GB-Mo,0.023,1.9304,0.0215,1.8045,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-03-222222222222-03-01,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-01,83.2226,Hrs,0.192,15.9787,0.17,14.1478,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
aws-2026-04-03-222222222222-03-02,2026-04-01,2026-05-01,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,999999999999,222222222222,development-account,Amazon Relational Database Service,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1,db-2222-03-02,90.3143,Hrs,0.192,17.3404,0.17,15.3534,Usage,OnDemand,USD,Data,Analytics,development,CC-2001,"{""application"":""Analytics"",""cost_center"":""CC-2001"",""environment"":""development"",""team"":""Data""}",False,valid
